"日付","Tweets published","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント数","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント数"
"2020-07-01","0","236","7","0.029661016949152543","3","0","2","0","0","0","1","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-02","0","70","3","0.04285714285714286","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-03","1","390","9","0.023076923076923078","2","0","2","0","0","0","2","0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-04","0","72","3","0.041666666666666664","0","0","0","0","0","0","2","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-05","1","345","7","0.020289855072463767","2","0","1","1","0","0","3","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-06","0","71","6","0.08450704225352113","0","0","0","0","0","0","3","0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-07","2","648","17","0.026234567901234566","5","1","8","1","0","0","2","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-08","1","432","27","0.0625","3","1","1","0","0","0","16","0","0","0","0","0","0","6","6","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-09","1","436","15","0.034403669724770644","2","0","2","4","1","0","4","0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-10","1","353","7","0.019830028328611898","3","0","0","0","1","0","2","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-11","0","36","9","0.25","0","0","0","0","1","0","5","0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-12","0","47","2","0.0425531914893617","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-13","0","32","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-14","0","29","0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-15","0","48","3","0.0625","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-16","0","41","1","0.024390243902439025","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-17","6","1898","84","0.044257112750263436","14","1","20","4","1","0","25","0","0","0","0","0","0","73","19","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-18","0","114","5","0.043859649122807015","0","1","1","0","0","0","0","0","0","0","0","0","0","21","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-19","2","427","24","0.05620608899297424","1","1","2","0","1","1","11","0","0","0","0","0","0","34","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-20","2","881","38","0.043132803632236094","9","1","11","0","0","0","14","0","0","0","0","0","0","80","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-07-21","0","109","3","0.027522935779816515","0","0","0","1","0","0","2","0","0","0","0","0","0","11","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
